Date,Symbol,Open,High,Low,Close,Volume,Turnover
2019-04-15,ADANIPORTS,385,389,382.75,387.05,2070828,79956583625000
2019-04-16,ADANIPORTS,387.05,396.55,386.1,395.65,3728013,146103218760000
2019-04-18,ADANIPORTS,395,395.5,388.9,390.55,3218018,125970641945000
2019-04-22,ADANIPORTS,388.4,391.8,384.25,391.05,2279282,88886458535000
2019-04-23,ADANIPORTS,389.55,391.7,385.55,390.9,2424827,94491427835000
2019-04-24,ADANIPORTS,387.7,394,386.1,391.75,1674322,65222301905000
2019-04-25,ADANIPORTS,390,392.9,387.65,389.25,5163069,201479681740000
2019-04-26,ADANIPORTS,387.3,393.7,385.65,391.75,1681376,65743046510000
2019-04-30,ADANIPORTS,391.15,393.95,384.8,392.8,2502107,97662121240000
2019-05-02,ADANIPORTS,392.8,397,390.15,395.3,2139442,84454018990000
2019-05-03,ADANIPORTS,393,398.4,385.05,387.25,1863548,73342144535000
2019-05-06,ADANIPORTS,386,386.05,378.45,379.8,1648057,62854747925000
2019-05-07,ADANIPORTS,381,383.95,370.1,371.9,1628805,61418056290000
2019-05-08,ADANIPORTS,370.05,374.9,367.7,369.8,1688110,62738557980000
2019-05-09,ADANIPORTS,369.9,370.7,361.1,363.9,1315271,47977749260000
2019-05-10,ADANIPORTS,363.9,378.7,363.9,372.55,3030255,112844309410000
2019-05-13,ADANIPORTS,369.9,372.3,362.95,364.75,1520562,56002592075000
2019-05-14,ADANIPORTS,362.9,373.8,362,370.55,3050760,113242907655000
2019-05-15,ADANIPORTS,371,375,359.1,360.15,2499138,91719028225000
2019-05-16,ADANIPORTS,361,374,361,371.5,3157194,116330232785000
2019-05-17,ADANIPORTS,368.8,372.8,362,367.1,3059404,111960431285000
2019-05-20,ADANIPORTS,388.5,408.2,376.05,400.1,10973781,430844741200000
2019-05-21,ADANIPORTS,409,411.4,385.3,387.6,9115899,359485363715000
2019-05-22,ADANIPORTS,389,393.45,378.4,385.95,4543570,175235302870000
2019-05-23,ADANIPORTS,398.95,430.6,392.15,407.55,23021274,947986196035000
2019-05-24,ADANIPORTS,408.45,414.85,399.5,410.25,9272570,376239250310000
2019-05-27,ADANIPORTS,409.25,417.3,405.6,412.4,5088602,210016739325000
2019-05-28,ADANIPORTS,420,426.8,408.7,412.65,18296760,759012065640000
2019-05-29,ADANIPORTS,412.3,412.95,404.3,406.55,2511011,102203637610000
2019-05-30,ADANIPORTS,406.55,411.8,401.6,409.3,5598272,228025665290000
2019-05-31,ADANIPORTS,408.8,417.7,407.35,416.4,4217665,174374930765000
2019-06-03,ADANIPORTS,416.4,426.35,412.1,424.75,3852273,161790742575000
